0,11.207,7.0711,11.461,11.802,13.424,11.842,19.893,20.036,22.309,23.844,24.181,27.601,28.757,28.378,11.287,32.558,32.361,36.605,35.726,35.675,43.012,45.275,42.742,13.72,11.56,16.313,17.62,20.755,24.958,29.283,32.336,33.76,36.943,38.833,39.341,18.139,17.569,21.782,22.544,25.223,28.909,34.434,35.416,37.698,38.856,41.819,42.056,6.2769,11.602,16.401,21.681,24.974,29.397,31.958,14.765,18.16,22.927,27.377,27.28,33.374,37.889
11.207,0,16.022,6.1188,16.697,13.11,17.253,21.467,18.556,26.274,25.236,23.146,30.232,30.137,28.375,17.127,33.762,32.617,38.488,36.922,36.007,44.583,46.404,43.191,22.502,21.701,26.038,28.218,30.974,35.714,40.164,43.278,44.481,47.748,49.677,50.168,11.261,8.7658,13.701,13.038,16.264,18.707,24.49,24.923,27.554,28.302,31.436,31.441,15.243,20.125,24.662,29.624,32.062,37.321,39.802,3.8471,7.8409,13.171,17.966,19.193,24.187,28.851
7.0711,16.022,0,13.413,6.4498,11.287,6.0926,15.027,16.973,16.045,18.682,20.321,21.638,23.296,23.621,5.3852,27.019,27.271,30.662,30.089,30.424,37.062,39.459,37.254,6.7882,5.8549,10.018,12.503,14.989,20.026,24.584,27.763,28.678,32.006,33.971,34.438,18.83,19.609,22.713,24.482,26.476,31.093,36.102,37.719,39.49,41.158,43.813,44.381,11.602,15.966,20.303,25.369,29.1,32.659,35.18,19.864,23.719,28.853,33.508,33.85,39.643,44.241
11.461,6.1188,13.413,0,11.936,7.1694,12.627,15.478,12.458,20.601,19.172,17.058,24.25,24.042,22.261,12.701,27.649,26.504,32.394,30.806,29.896,38.468,40.285,37.086,18.984,19.251,22.951,25.894,28.123,33.395,37.971,41.158,41.955,45.313,47.291,47.746,6.7941,6.3151,10.325,11.303,13.788,17.854,23.16,24.466,26.488,27.918,30.717,31.142,17.183,22.522,27.312,32.528,35.447,40.307,42.851,9.0554,13.092,18.44,23.242,24.965,29.424,34.083
11.802,16.697,6.4498,11.936,0,6.6,0.8,8.5907,10.929,10.591,12.337,13.931,15.8,17.102,17.201,1.3416,20.879,20.939,24.813,24.014,24.157,31.223,33.517,31.108,8.0399,10.2,12.259,16.105,17.418,23.146,27.722,30.91,31.206,34.605,36.605,37.014,15.284,17.145,19.017,21.503,22.808,27.984,32.402,34.498,35.805,37.853,40.202,41.031,17.46,22.204,26.666,31.78,35.468,39.107,41.629,20.373,24.47,29.84,34.649,35.766,40.871,45.539
13.424,13.11,11.287,7.1694,6.6,0,7.4,8.357,6.6483,13.495,12.175,11.022,17.123,17.141,15.801,7.823,20.847,20.004,25.469,24.042,23.408,31.664,33.615,30.616,14.622,16.322,18.838,22.557,24.013,29.714,34.299,37.49,37.805,41.204,43.204,43.611,8.7476,11.002,12.426,15.037,16.211,21.44,25.803,27.921,29.206,31.264,33.602,34.437,19.698,24.974,29.732,35.002,38.382,42.643,45.202,16.225,20.248,25.577,30.364,32.131,36.522,41.169
11.842,17.253,6.0926,12.627,0.8,7.4,0,8.9554,11.597,10.469,12.594,14.45,15.82,17.27,17.533,0.72111,21.024,21.19,24.852,24.134,24.368,31.264,33.593,31.262,7.2443,9.5016,11.463,15.331,16.619,22.352,26.926,30.112,30.406,33.805,35.805,36.214,16.08,17.912,19.816,22.293,23.608,28.778,33.202,35.296,36.605,38.652,41.002,41.831,17.34,21.979,26.383,31.462,35.183,38.732,41.247,20.961,25.051,30.414,35.216,36.264,41.439,46.104
19.893,21.467,15.027,15.478,8.5907,8.357,8.9554,0,5.6321,6.1741,4,6.0033,8.7727,9.0089,8.6163,9.6747,12.802,12.474,17.229,16.005,15.784,23.523,25.612,22.888,14.44,17.819,18.184,22.536,22.693,28.561,32.888,35.938,35.537,38.873,40.84,41.166,14.931,18.102,17.639,20.97,20.957,26.583,29.736,32.508,32.995,35.576,37.341,38.563,25.857,30.742,35.247,40.371,44.048,47.683,50.2,24.509,28.479,33.752,38.502,40.43,44.601,49.22
20.036,18.556,16.973,12.458,10.929,6.6483,11.597,5.6321,0,11.775,7.7795,4.6043,13.159,12.083,9.8489,12.259,15.451,14.081,20.327,18.531,17.46,26.189,27.898,24.636,18.385,21.095,22.454,26.631,27.312,33.188,37.643,40.761,40.588,43.958,45.943,46.293,9.9639,13.424,12.207,15.649,15.384,21.019,24.108,26.881,27.379,29.945,31.735,32.937,26.298,31.53,36.255,41.51,44.952,49.093,51.647,21.016,24.743,29.811,34.435,36.774,40.387,44.933
22.309,26.274,16.045,20.601,10.591,13.495,10.469,6.1741,11.775,0,5.7723,10.807,5.7585,8.2462,10.325,11.029,11.541,12.625,14.67,14.374,15.264,21.045,23.496,21.582,12.706,16.734,15.447,19.807,19.042,24.698,28.712,31.598,30.801,34.041,35.961,36.24,20.972,23.994,23.8,27.097,27.13,32.757,35.824,38.652,39.05,41.687,43.369,44.643,27.618,31.933,36.054,40.907,44.772,47.777,50.214,29.624,33.689,39.041,43.84,45.453,50.01,54.661
